,Class ID,imageNet_class,max_similarity_ratio,dbpedia_class
975,975,"['lakeside', 'lakeshore']",67,lake
131,131,"['little blue heron', 'Egretta caerulea']",64,rest area
77,77,"['wolf spider', 'hunting spider']",64,golf player
80,80,['black grouse'],64,back scene
185,185,['Norfolk terrier'],64,old territory
716,716,"['picket fence', 'paling']",64,rocket engine
715,715,['pickelhaube'],64,cricket league
510,510,"['container ship', 'containership', 'container vessel']",64,continent
956,956,['custard apple'],64,card game
180,180,"['American Staffordshire terrier', 'Staffordshire terrier', 'American pit bull rrier', ""pit bull terrier'"", '']",64,american football player
593,593,"['harmonica', 'mouth organ', 'harp', 'mouth harp']",64,mountain range
550,550,['espresso maker'],64,sports manager
109,109,['brain coral'],64,train carriage
60,60,"['night snake', 'Hypsiglena torquata']",64,light novel
32,32,"['tailed frog', 'bell toad', 'ribbed toad', 'tailed toad', 'Ascaphus trui']",64,baseball team
143,143,"['oystercatcher', 'oyster catcher']",64,roller coaster
609,609,"['jeep', 'landrover']",64,racing driver
898,898,['water bottle'],64,amateur boxer
999,999,"['toilet tissue', 'toilet paper', 'bathroom tissue']",64,athletics player
732,732,"['Polaroid camera', 'Polaroid Land camera']",64,board game
270,270,"['white wolf', 'Arctic wolf', 'Canis lupus tundrarum']",64,written work
755,755,"['radio telescope', 'radio reflector']",64,radio program
810,810,['space bar'],64,space station
467,467,"['butcher shop', 'meat market']",64,route stop
854,854,"['theater curtain', 'theatre curtain']",64,theatre
442,442,"['bell cote', 'bell cot']",64,baseball team
899,899,['water jug'],63,water ride
335,335,"['fox squirrel', 'eastern fox squirrel', 'Sciurus niger']",63,Singer
449,449,['boathouse'],63,lighthouse
610,610,"['jersey', 'T-shirt', 'tee shirt']",63,team sport
788,788,"['shoe shop', 'shoe-shop', 'shoe store']",63,route stop
976,976,"['promontory', 'headland', 'head', 'foreland']",63,monastery
747,747,"['punching bag', 'punch bag', 'punching ball', 'punchball']",63,launch pad
394,394,['sturgeon'],63,storm surge
319,319,"['dragonfly', 'darning needle', ""devil's darning needle"", 'sewing needle', 'snake fder', 'snake doctor', 'mosquito hawk', 'skeeter hawk""', '']",63,single
246,246,['Great Dane'],63,rest area
623,623,"['letter opener', 'paper knife', 'paperknife']",63,letter
252,252,"['affenpinscher', 'monkey pinscher', 'monkey dog']",63,fencer
401,401,"['accordion', 'piano accordion', 'squeeze box']",63,decoration
74,74,"['garden spider', 'Aranea diademata']",63,garden
689,689,['overskirt'],63,university
76,76,['tarantula'],63,restaurant
296,296,"['ice bear', 'polar bear', 'Ursus Maritimus', 'Thalarctos maritimus']",63,voice actor
81,81,['ptarmigan'],63,parliament
570,570,"['gasmask', 'respirator', 'gas helmet']",63,escalator
30,30,"['bullfrog', 'Rana catesbeiana']",63,bullfighter
448,448,['birdhouse'],63,lighthouse
414,414,"['backpack', 'back pack', 'knapsack', 'packsack', 'rucksack', 'haversack']",63,race track
644,644,['matchstick'],63,athletics
759,759,['reflex camera'],63,camera
627,627,"['limousine', 'limo']",63,lighthouse
634,634,"['lumbermill', 'sawmill']",63,Watermill
461,461,"['breastplate', 'aegis', 'egis']",63,wrestler
959,959,['carbonara'],62,cartoon
68,68,"['sidewinder', 'horned rattlesnake', 'Crotalus cerastes']",62,fashion designer
777,777,['scabbard'],62,award
785,785,"['seat belt', 'seatbelt']",62,state
72,72,"['black and gold garden spider', 'Argiope aurantia']",62,restaurant
653,653,['milk can'],62,medician
641,641,['maraca'],62,archaea
581,581,"['grille', 'radiator grille']",62,reptile
642,642,"['marimba', 'xylophone']",62,animal
580,580,"['greenhouse', 'nursery', 'glasshouse']",62,tenure
4,4,"['hammerhead', 'hammerhead shark']",62,camera
354,354,"['Arabian camel', 'dromedary', 'Camelus dromedarius']",62,deanery
353,353,['gazelle'],62,valley
953,953,"['pineapple', 'ananas']",62,mineral
951,951,['lemon'],62,Election
293,293,"['cheetah', 'chetah', 'Acinonyx jubatus']",62,cheese
679,679,['necklace'],62,place
651,651,"['microwave', 'microwave oven']",62,cave
758,758,['reel'],62,rebellion
945,945,['bell pepper'],62,baseball player
410,410,"['apiary', 'bee house']",62,library
943,943,"['cucumber', 'cuke']",62,Youtuber
937,937,['broccoli'],62,Protocol
91,91,['coucal'],62,musical
65,65,['sea snake'],62,disease
763,763,"['revolver', 'six-gun', 'six-shooter']",62,river
62,62,"['rock python', 'rock snake', 'Python sebae']",62,rocket
373,373,['macaque'],62,mosque
622,622,"['lens cap', 'lens cover']",62,fencer
380,380,"['titi', 'titi monkey']",62,statistic
657,657,['missile'],62,muscle
336,336,['marmot'],62,airport
384,384,"['indri', 'indris', 'Indri indri', 'Indri brevicaudatus']",62,Windmill
984,984,['rapeseed'],62,grape
982,982,"['groom', 'bridegroom']",62,bridge
41,41,"['whiptail', 'whiptail lizard']",62,hospital
612,612,"['jinrikisha', 'ricksha', 'rickshaw']",62,parish
378,378,"['capuchin', 'ringtail', 'Cebus capucinus']",62,coach
761,761,"['remote control', 'remote']",62,protein
334,334,"['porcupine', 'hedgehog']",62,pope
351,351,['hartebeest'],62,artist
372,372,['baboon'],62,baronet
666,666,['mortar'],62,monarch
992,992,['agaric'],62,article
326,326,"['lycaenid', 'lycaenid butterfly']",62,cycad
601,601,"['hoopskirt', 'crinoline']",62,airline
773,773,"['saltshaker', 'salt shaker']",62,skater
371,371,"['patas', 'hussar monkey', 'Erythrocebus patas']",62,Database
965,965,['burrito'],62,territory
635,635,['magnetic compass'],62,mountain pass
994,994,"['stinkhorn', 'carrion fungus']",62,station
28,28,"['spotted salamander', 'Ambystoma maculatum']",62,sports manager
318,318,"['lacewing', 'lacewing fly']",62,place
473,473,"['can opener', 'tin opener']",62,canton
147,147,"['grey whale', 'gray whale', 'devilfish', 'Eschrichtius gibbosus', ""Eschrichtius rostus'"", '']",62,fish
731,731,"['plunger', ""plumber's helper""]",62,planet
174,174,"['Norwegian elkhound', 'elkhound']",62,sound
853,853,"['thatch', 'thatched roof']",62,theatre
169,169,"['borzoi', 'Russian wolfhound']",62,borough
896,896,"['washbasin', 'handbasin', 'washbowl', 'lavabo', 'wash-hand basin']",62,fashion
711,711,"['perfume', 'essence']",62,Resume
897,897,"['washer', 'automatic washer', 'washing machine']",62,Browser
356,356,['weasel'],62,disease
163,163,"['bloodhound', 'sleuthhound']",62,sound
161,161,"['basset', 'basset hound']",62,baronet
225,225,['malinois'],62,canoeist
227,227,['kelpie'],62,reptile
236,236,"['Doberman', 'Doberman pinscher']",62,brain
154,154,"['Pekinese', 'Pekingese', 'Peke']",62,engineer
730,730,"['plow', 'plough']",62,borough
96,96,['toucan'],62,volcano
217,217,"['English springer', 'English springer spaniel']",62,hot spring
881,881,"['upright', 'upright piano']",62,priest
216,216,"['clumber', 'clumber spaniel']",62,colour
193,193,['Australian terrier'],62,train carriage
201,201,"['silky terrier', 'Sydney silky']",62,old territory
199,199,"['Scotch terrier', 'Scottish terrier', 'Scottie']",62,continent
