"DBpediaProp","itemLabel","WikidataProp"
"http://dbpedia.org/ontology/family","family","http://www.wikidata.org/entity/P53"
"http://dbpedia.org/ontology/father","father","http://www.wikidata.org/entity/P22"
"http://dbpedia.org/ontology/flag","flag (image)","http://www.wikidata.org/entity/P41"
"http://dbpedia.org/ontology/followedBy","followed by","http://www.wikidata.org/entity/P156"
"http://dbpedia.org/ontology/follows","follows","http://www.wikidata.org/entity/P155"
"http://dbpedia.org/ontology/formationDate","formation date","http://www.wikidata.org/entity/P571"
"http://dbpedia.org/ontology/foundedBy","founded by","http://www.wikidata.org/entity/P112"
"http://dbpedia.org/ontology/founder","founder","http://www.wikidata.org/entity/P112"
"http://dbpedia.org/ontology/foundingDate","founding date","http://www.wikidata.org/entity/P571"
"http://dbpedia.org/ontology/fuelSystem","fuel system","http://www.wikidata.org/entity/P1211"
"http://dbpedia.org/ontology/functionStartYear","function start year","http://www.wikidata.org/entity/P2031"
"http://dbpedia.org/ontology/gameEngine","Game Engine","http://www.wikidata.org/entity/P408"
"http://dbpedia.org/ontology/generalManager","general manager","http://www.wikidata.org/entity/P505"
"http://dbpedia.org/ontology/genre","genre","http://www.wikidata.org/entity/P136"
"http://dbpedia.org/ontology/genus","genus","http://www.wikidata.org/entity/P74"
"http://dbpedia.org/ontology/giniCoefficient","gini coefficient","http://www.wikidata.org/entity/P1125"
"http://dbpedia.org/ontology/gross","gross ($)","http://www.wikidata.org/entity/P2139"
"http://dbpedia.org/ontology/hairColor","hair color","http://www.wikidata.org/entity/P1884"
"http://dbpedia.org/ontology/handedness","handedness","http://www.wikidata.org/entity/P552"
"http://dbpedia.org/ontology/headquarter","headquarter","http://www.wikidata.org/entity/P159"
"http://dbpedia.org/ontology/height","height (μ)","http://www.wikidata.org/entity/P2048"
"http://dbpedia.org/ontology/highestPoint","highest point","http://www.wikidata.org/entity/P610"
"http://dbpedia.org/ontology/highwaySystem","highway system","http://www.wikidata.org/entity/P16"
"http://dbpedia.org/ontology/homeport","homeport","http://www.wikidata.org/entity/P504"
"http://dbpedia.org/ontology/iataAirlineCode","IATA code","http://www.wikidata.org/entity/P229"
"http://dbpedia.org/ontology/iataLocationIdentifier","IATA Location Identifier","http://www.wikidata.org/entity/P238"
"http://dbpedia.org/ontology/icaoAirlineCode","ICAO code","http://www.wikidata.org/entity/P230"
"http://dbpedia.org/ontology/icaoLocationIdentifier","ICAO Location Identifier","http://www.wikidata.org/entity/P239"
"http://dbpedia.org/ontology/icd10","ICD10","http://www.wikidata.org/entity/P494"
"http://dbpedia.org/ontology/icd9","ICD9","http://www.wikidata.org/entity/P493"
"http://dbpedia.org/ontology/ideology","ideology","http://www.wikidata.org/entity/P1142"
"http://dbpedia.org/ontology/illustrator","illustrator","http://www.wikidata.org/entity/P110"
"http://dbpedia.org/ontology/imdbId","IMDB id","http://www.wikidata.org/entity/P345"
"http://dbpedia.org/ontology/individualisedGnd","individualised GND number","http://www.wikidata.org/entity/P227"
"http://dbpedia.org/ontology/industry","industry","http://www.wikidata.org/entity/P452"
"http://dbpedia.org/ontology/inflow","inflow","http://www.wikidata.org/entity/P200"
"http://dbpedia.org/ontology/inseeCode","INSEE code","http://www.wikidata.org/entity/P374"
"http://dbpedia.org/ontology/installedCapacity","installed capacity (W)","http://www.wikidata.org/entity/P2109"
"http://dbpedia.org/ontology/instrument","instrument","http://www.wikidata.org/entity/P1303"
"http://dbpedia.org/ontology/isPartOf","is part of","http://www.wikidata.org/entity/P361"
"http://dbpedia.org/ontology/isbn","ISBN","http://www.wikidata.org/entity/P212"
"http://dbpedia.org/ontology/isbn","ISBN","http://www.wikidata.org/entity/P957"
"http://dbpedia.org/ontology/isil","International Standard Identifier for Libraries and Related Organizations (ISIL)","http://www.wikidata.org/entity/P791"
"http://dbpedia.org/ontology/isniId","ISNI Id","http://www.wikidata.org/entity/P213"
"http://dbpedia.org/ontology/iso31661Code","ISO 3166-1 code","http://www.wikidata.org/entity/P297"
"http://dbpedia.org/ontology/iso31661Code","ISO 3166-1 code","http://www.wikidata.org/entity/P298"
"http://dbpedia.org/ontology/iso31661Code","ISO 3166-1 code","http://www.wikidata.org/entity/P299"
"http://dbpedia.org/ontology/iso6391Code","ISO 639-1 code","http://www.wikidata.org/entity/P218"
"http://dbpedia.org/ontology/iso6392Code","ISO 639-2 code","http://www.wikidata.org/entity/P219"
"http://dbpedia.org/ontology/iso6393Code","ISO 639-3 code","http://www.wikidata.org/entity/P220"
"http://dbpedia.org/ontology/istat","code istat","http://www.wikidata.org/entity/P635"
"http://dbpedia.org/ontology/killedBy","killed by","http://www.wikidata.org/entity/P157"
"http://dbpedia.org/ontology/kingdom","kingdom","http://www.wikidata.org/entity/P75"
"http://dbpedia.org/ontology/landingDate","landing date","http://www.wikidata.org/entity/P620"
"http://dbpedia.org/ontology/launchDate","launch date","http://www.wikidata.org/entity/P619"
"http://dbpedia.org/ontology/launchSite","launch site","http://www.wikidata.org/entity/P448"
"http://dbpedia.org/ontology/launchVehicle","launch vehicle","http://www.wikidata.org/entity/P375"
"http://dbpedia.org/ontology/lccnId","LCCN Id","http://www.wikidata.org/entity/P244"
"http://dbpedia.org/ontology/league","league","http://www.wikidata.org/entity/P118"
"http://dbpedia.org/ontology/length","length (μ)","http://www.wikidata.org/entity/P2043"
"http://dbpedia.org/ontology/license","license","http://www.wikidata.org/entity/P275"
"http://dbpedia.org/ontology/locatedInArea","located in area","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/maintainedBy","maintained by","http://www.wikidata.org/entity/P126"
"http://dbpedia.org/ontology/manager","manager","http://www.wikidata.org/entity/P286"
"http://dbpedia.org/ontology/manufacturer","manufacturer","http://www.wikidata.org/entity/P176"
"http://dbpedia.org/ontology/member","member","http://www.wikidata.org/entity/P463"
"http://dbpedia.org/ontology/meshId","MeSH ID","http://www.wikidata.org/entity/P486"
"http://dbpedia.org/ontology/militaryBranch","military branch","http://www.wikidata.org/entity/P7779"
"http://dbpedia.org/ontology/mother","mother","http://www.wikidata.org/entity/P25"
"http://dbpedia.org/ontology/movement","movement","http://www.wikidata.org/entity/P135"
"http://dbpedia.org/ontology/musicBrainzArtistId","MusicBrainz artist id","http://www.wikidata.org/entity/P434"
"http://dbpedia.org/ontology/musicBy","music by","http://www.wikidata.org/entity/P86"
"http://dbpedia.org/ontology/musicalArtist","musical artist","http://www.wikidata.org/entity/P175"
"http://dbpedia.org/ontology/namedAfter","named after","http://www.wikidata.org/entity/P138"
"http://dbpedia.org/ontology/nationality","nationality","http://www.wikidata.org/entity/P27"
"http://dbpedia.org/ontology/nciId","NCI","http://www.wikidata.org/entity/P1395"
"http://dbpedia.org/ontology/ndlId","NDL id","http://www.wikidata.org/entity/P349"
"http://dbpedia.org/ontology/netIncome","net income ($)","http://www.wikidata.org/entity/P2295"
"http://dbpedia.org/ontology/nisCode","NIS code","http://www.wikidata.org/entity/P1567"
"http://dbpedia.org/ontology/nlaId","NLA Id","http://www.wikidata.org/entity/P409"
"http://dbpedia.org/ontology/notableWork","notable work","http://www.wikidata.org/entity/P800"
"http://dbpedia.org/ontology/nrhpReferenceNumber","NRHP Reference Number","http://www.wikidata.org/entity/P649"
"http://dbpedia.org/ontology/numberOfEmployees","number of employees","http://www.wikidata.org/entity/P1128"
"http://dbpedia.org/ontology/numberOfStudents","number of students","http://www.wikidata.org/entity/P2196"
"http://dbpedia.org/ontology/nutsCode","NUTS code","http://www.wikidata.org/entity/P605"
"http://dbpedia.org/ontology/occupation","occupation","http://www.wikidata.org/entity/P106"
"http://dbpedia.org/ontology/ofsCode","ofs code of a settlement","http://www.wikidata.org/entity/P771"
"http://dbpedia.org/ontology/okatoCode","okato code","http://www.wikidata.org/entity/P721"
"http://dbpedia.org/ontology/operatingIncome","operating income ($)","http://www.wikidata.org/entity/P3362"
"http://dbpedia.org/ontology/orcidId","ORCID Id","http://www.wikidata.org/entity/P496"
"http://dbpedia.org/ontology/order","order (taxonomy)","http://www.wikidata.org/entity/P70"
"http://dbpedia.org/ontology/orientation","orientation","http://www.wikidata.org/entity/P91"
"http://dbpedia.org/ontology/originalLanguage","original language","http://www.wikidata.org/entity/P364"
"http://dbpedia.org/ontology/owner","owner","http://www.wikidata.org/entity/P127"
"http://dbpedia.org/ontology/owningOrganisation","owning organisation","http://www.wikidata.org/entity/P1830"
"http://dbpedia.org/ontology/party","party","http://www.wikidata.org/entity/P102"
"http://dbpedia.org/ontology/pdb","PDB ID","http://www.wikidata.org/entity/P638"
"http://dbpedia.org/ontology/personName","personName","http://www.wikidata.org/entity/P1448"
"http://dbpedia.org/ontology/placeOfBurial","place of burial","http://www.wikidata.org/entity/P119"
"http://dbpedia.org/ontology/populationTotal","population total","http://www.wikidata.org/entity/P1082"
"http://dbpedia.org/ontology/position","position","http://www.wikidata.org/entity/P413"
"http://dbpedia.org/ontology/postalCode","postal code","http://www.wikidata.org/entity/P281"
"http://dbpedia.org/ontology/primeMinister","prime minister","http://www.wikidata.org/entity/P6"
"http://dbpedia.org/ontology/pronunciation","pronunciation","http://www.wikidata.org/entity/P443"
"http://dbpedia.org/ontology/province","province","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/pseudonym","pseudonym","http://www.wikidata.org/entity/P742"
"http://dbpedia.org/ontology/recordLabel","record label","http://www.wikidata.org/entity/P264"
"http://dbpedia.org/ontology/releaseDate","release date","http://www.wikidata.org/entity/P577"
"http://dbpedia.org/ontology/religion","religion","http://www.wikidata.org/entity/P140"
"http://dbpedia.org/ontology/residence","residence","http://www.wikidata.org/entity/P551"
"http://dbpedia.org/ontology/revenue","revenue ($)","http://www.wikidata.org/entity/P2139"
"http://dbpedia.org/ontology/rkdArtistsId","RKDartists id","http://www.wikidata.org/entity/P650"
"http://dbpedia.org/ontology/runtime","runtime (s)","http://www.wikidata.org/entity/P2047"
"http://dbpedia.org/ontology/selibrId","SELIBR Id","http://www.wikidata.org/entity/P906"
"http://dbpedia.org/ontology/settlement","settlement","http://www.wikidata.org/entity/P131"
"http://dbpedia.org/ontology/sex","sex","http://www.wikidata.org/entity/P21"
"http://dbpedia.org/ontology/sibling","sibling","http://www.wikidata.org/entity/P3373"
"http://dbpedia.org/ontology/signature","signature","http://www.wikidata.org/entity/P109"
"http://dbpedia.org/ontology/spouse","spouse","http://www.wikidata.org/entity/P26"
"http://dbpedia.org/ontology/starring","starring","http://www.wikidata.org/entity/P161"
"http://dbpedia.org/ontology/startDate","start date","http://www.wikidata.org/entity/P580"
"http://dbpedia.org/ontology/sudocId","SUDOC id","http://www.wikidata.org/entity/P269"
"http://dbpedia.org/ontology/synonym","synonym","http://www.wikidata.org/entity/P5973"
"http://dbpedia.org/ontology/taoiseach","taoiseach","http://www.wikidata.org/entity/P6"
"http://dbpedia.org/ontology/team","team","http://www.wikidata.org/entity/P54"
"http://dbpedia.org/ontology/terytCode","TERYT code","http://www.wikidata.org/entity/P1653"
"http://dbpedia.org/ontology/ulanId","ULAN id","http://www.wikidata.org/entity/P245"
"http://dbpedia.org/ontology/unloCode","UN/LOCODE","http://www.wikidata.org/entity/P1937"
"http://dbpedia.org/ontology/viafId","VIAF Id","http://www.wikidata.org/entity/P214"
"http://dbpedia.org/ontology/voice","voice","http://www.wikidata.org/entity/P990"
"http://dbpedia.org/ontology/weight","weight (g)","http://www.wikidata.org/entity/P2067"
"http://dbpedia.org/ontology/wheelbase","wheelbase (μ)","http://www.wikidata.org/entity/P3039"
"http://dbpedia.org/ontology/width","width (μ)","http://www.wikidata.org/entity/P2049"
"http://dbpedia.org/ontology/year","year","http://www.wikidata.org/entity/P2257"
"http://dbpedia.org/ontology/zipCode","zip code","http://www.wikidata.org/entity/P281"
"http://dbpedia.org/ontology/انعام","award","http://www.wikidata.org/entity/P166"
"http://dbpedia.org/ontology/سرگرمی","activity","http://www.wikidata.org/entity/P106"
"http://dbpedia.org/ontology/فنکار","artist","http://www.wikidata.org/entity/P175"
"http://dbpedia.org/ontology/مخفف","abbreviation","http://www.wikidata.org/entity/P743"
"http://dbpedia.org/ontology/مصنف","writer","http://www.wikidata.org/entity/P50"
